               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10586,              0.1144,            0.037479,           0.0008642,             0.03612,          0.00055423,           0.0001455,            0.098296,            0.083145,            0.036127,            0.070435,            0.003285,            0.003285
                   1,             0.10068,                0.13,            0.035721,           0.0030823,            0.048092,           0.0017199,          0.00040122,             0.09851,            0.093094,            0.035463,            0.040304,           0.0064873,           0.0064873
                   2,            0.099853,             0.11931,            0.034925,           0.0016734,            0.022568,          0.00086186,          0.00019973,             0.10193,             0.18726,            0.034712,            0.010041,           0.0095576,           0.0095576
                   3,            0.098848,             0.11796,            0.034051,           0.0052582,            0.099279,           0.0032333,          0.00093546,            0.099244,            0.096443,            0.034731,            0.009406,            0.009406,            0.009406
                   4,             0.09604,             0.11364,            0.033838,            0.016408,            0.094119,            0.013919,            0.002784,            0.094737,            0.080116,            0.033792,            0.009406,            0.009406,            0.009406
                   5,             0.09357,             0.11297,            0.033265,            0.020996,             0.10492,            0.012917,           0.0035144,            0.092072,            0.082275,            0.033261,            0.009208,            0.009208,            0.009208
                   6,            0.091732,             0.11369,            0.032888,             0.31692,            0.067355,            0.023208,           0.0066872,            0.089695,            0.081207,            0.032286,             0.00901,             0.00901,             0.00901
                   7,            0.090639,             0.11234,            0.032458,           0.0061113,            0.082564,           0.0042367,           0.0012662,            0.097057,            0.085014,            0.033197,            0.008812,            0.008812,            0.008812
                   8,            0.088868,              0.1135,            0.031791,            0.062862,            0.071484,            0.023475,           0.0077782,            0.088922,             0.07943,            0.033151,            0.008614,            0.008614,            0.008614
                   9,             0.08721,             0.11188,            0.031173,            0.095117,             0.12096,            0.045254,            0.012681,            0.084582,            0.077988,            0.030984,            0.008416,            0.008416,            0.008416
                  10,            0.086351,              0.1126,            0.029799,            0.097812,             0.10224,            0.049241,             0.01283,            0.085046,            0.078239,            0.030123,            0.008218,            0.008218,            0.008218
                  11,             0.08489,             0.11207,            0.028771,             0.18284,             0.12062,            0.081061,            0.024057,            0.081699,            0.077797,            0.027422,             0.00802,             0.00802,             0.00802
                  12,            0.083924,              0.1122,            0.027678,             0.16803,             0.12818,            0.088641,            0.024699,            0.081548,            0.075375,            0.026688,            0.007822,            0.007822,            0.007822
                  13,            0.083117,             0.11132,            0.026843,             0.21825,             0.16746,             0.11237,            0.034257,            0.079932,            0.074814,            0.025548,            0.007624,            0.007624,            0.007624
                  14,            0.082364,             0.11131,             0.02566,             0.23424,             0.17539,              0.1201,            0.039672,            0.079551,            0.074654,            0.026875,            0.007426,            0.007426,            0.007426
                  15,            0.081365,             0.10887,            0.025221,             0.24854,             0.14449,             0.10771,            0.033402,            0.081338,            0.074417,            0.023996,            0.007228,            0.007228,            0.007228
                  16,            0.080594,             0.10909,            0.024556,             0.28598,             0.17401,             0.13447,            0.043064,            0.077995,            0.075039,            0.023282,             0.00703,             0.00703,             0.00703
