               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10304,            0.042665,            0.037191,          0.00059597,            0.047168,          0.00036437,          8.9675e-05,            0.095916,             0.02722,            0.034703,            0.070319,           0.0032979,           0.0032979
                   1,            0.096722,             0.04765,            0.034127,          0.00096514,            0.056382,          0.00077343,          0.00020802,            0.098242,            0.026424,            0.032605,            0.040286,           0.0065984,           0.0065984
                   2,            0.095645,            0.048167,            0.032584,           0.0011233,            0.048093,           0.0023967,          0.00059038,            0.096357,            0.027232,            0.031832,             0.01022,           0.0098659,           0.0098659
                   3,            0.094744,            0.047362,            0.031213,          0.00092719,            0.073354,            0.001116,          0.00027214,            0.093669,            0.028168,            0.029336,           0.0098515,           0.0098515,           0.0098515
                   4,            0.092431,            0.047449,            0.029883,           0.0014336,             0.11344,           0.0043329,            0.000849,            0.091658,            0.032445,            0.026853,           0.0098515,           0.0098515,           0.0098515
                   5,            0.089017,            0.046309,            0.028401,           0.0037359,               0.141,           0.0046398,          0.00099797,            0.091281,            0.032048,            0.026512,            0.009802,            0.009802,            0.009802
                   6,            0.086307,            0.045235,            0.026742,            0.004473,              0.2038,            0.006725,           0.0019291,            0.087014,            0.031047,            0.024421,           0.0097525,           0.0097525,           0.0097525
                   7,            0.083932,            0.044536,            0.026105,            0.024652,              0.1219,            0.017198,           0.0050156,            0.084477,            0.030293,            0.022532,            0.009703,            0.009703,            0.009703
                   8,            0.081717,            0.045281,            0.025502,             0.12076,            0.051398,            0.026191,           0.0075945,            0.079277,            0.029796,            0.020856,           0.0096535,           0.0096535,           0.0096535
                   9,            0.079674,            0.045204,            0.024651,             0.42518,             0.05777,            0.030893,           0.0092367,            0.078407,             0.02927,            0.019988,            0.009604,            0.009604,            0.009604
                  10,            0.078208,            0.044986,             0.02439,             0.13352,            0.068909,            0.049042,            0.015658,            0.075676,            0.028866,            0.020451,           0.0095545,           0.0095545,           0.0095545
                  11,            0.076898,            0.043333,            0.023469,             0.15155,            0.078093,            0.041534,            0.011942,            0.075219,            0.028998,            0.019041,            0.009505,            0.009505,            0.009505
                  12,            0.075024,            0.042962,            0.022706,             0.30857,            0.087397,            0.063923,            0.020548,            0.074948,            0.028309,            0.018228,           0.0094555,           0.0094555,           0.0094555
                  13,            0.074511,            0.044035,            0.022097,              0.1616,             0.10366,            0.067505,            0.021362,            0.073889,            0.028267,            0.018269,            0.009406,            0.009406,            0.009406
                  14,            0.073773,            0.045263,            0.021404,             0.18276,             0.12481,             0.08415,            0.027228,            0.072594,             0.02813,            0.017621,           0.0093565,           0.0093565,           0.0093565
                  15,            0.072653,            0.043866,            0.020248,             0.17492,             0.13267,            0.086556,            0.026577,            0.072319,            0.028715,            0.016094,            0.009307,            0.009307,            0.009307
                  16,            0.071487,             0.04246,            0.019111,              0.2167,             0.13786,              0.0989,            0.033097,            0.072139,            0.027773,            0.017237,           0.0092575,           0.0092575,           0.0092575
                  17,            0.071386,            0.043684,            0.018477,              0.2338,             0.15326,             0.10682,            0.035463,             0.07036,            0.028284,            0.016281,            0.009208,            0.009208,            0.009208
                  18,            0.070666,            0.042827,            0.017859,             0.23427,             0.14769,             0.11056,            0.036672,            0.069759,            0.028469,            0.017074,           0.0091585,           0.0091585,           0.0091585
                  19,            0.069801,             0.04297,              0.0173,             0.25991,             0.16752,             0.12468,            0.042263,            0.069646,            0.027833,            0.016239,            0.009109,            0.009109,            0.009109
                  20,            0.068841,            0.042815,            0.016975,             0.19855,             0.13966,             0.10257,             0.03437,            0.069272,              0.0282,            0.014118,           0.0090595,           0.0090595,           0.0090595
                  21,            0.068602,            0.044047,            0.016884,             0.24772,             0.17894,             0.12305,              0.0434,            0.069915,            0.028126,            0.017171,             0.00901,             0.00901,             0.00901
                  22,            0.068067,            0.041821,            0.016128,             0.28606,             0.16146,             0.13885,            0.048943,            0.067933,            0.028144,            0.013145,           0.0089605,           0.0089605,           0.0089605
                  23,            0.067869,            0.042252,            0.015546,             0.30162,             0.17868,             0.15111,            0.055091,            0.067665,            0.027591,            0.013573,            0.008911,            0.008911,            0.008911
                  24,            0.067362,            0.043321,            0.015372,             0.31324,             0.19324,             0.16871,             0.05943,             0.06741,            0.027845,            0.013363,           0.0088615,           0.0088615,           0.0088615
                  25,            0.067231,            0.042242,            0.014814,             0.31026,             0.18639,             0.15361,            0.058125,            0.066727,            0.028496,            0.015408,            0.008812,            0.008812,            0.008812
                  26,            0.066383,            0.041862,             0.01425,             0.32017,             0.19121,              0.1606,            0.056628,            0.066888,            0.027593,            0.014372,           0.0087625,           0.0087625,           0.0087625
                  27,            0.065596,            0.042285,            0.013857,             0.30836,             0.21813,             0.18248,            0.066503,            0.064897,            0.027704,            0.012313,            0.008713,            0.008713,            0.008713
                  28,            0.066045,              0.0421,            0.013998,             0.33462,             0.21663,             0.18282,            0.067688,            0.065045,            0.027122,             0.01224,           0.0086635,           0.0086635,           0.0086635
                  29,            0.065094,            0.042187,             0.01369,             0.32375,              0.2045,             0.17777,            0.067661,             0.06422,            0.027573,            0.013875,            0.008614,            0.008614,            0.008614
                  30,            0.065305,            0.042136,             0.01365,             0.33554,             0.20648,             0.18905,            0.071438,            0.067071,            0.027112,            0.012189,           0.0085645,           0.0085645,           0.0085645
                  31,            0.065013,            0.042289,            0.013236,             0.37513,             0.21533,             0.20599,            0.077719,            0.064256,            0.027158,            0.011466,            0.008515,            0.008515,            0.008515
