               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.052243,            0.036268,           0.0071924,              0.6411,             0.43021,             0.47857,             0.24973,            0.049031,             0.02557,           0.0055541,            0.006535,            0.006535,            0.006535
                  37,            0.052057,            0.036477,           0.0071131,              0.6896,             0.40575,             0.47478,             0.24907,            0.049117,            0.025571,           0.0056581,            0.006436,            0.006436,            0.006436
                  38,            0.051957,            0.035917,           0.0071195,             0.67221,             0.39569,              0.4679,             0.24596,            0.049133,             0.02556,            0.005427,            0.006337,            0.006337,            0.006337
                  39,            0.051859,            0.036096,           0.0069619,             0.68842,             0.41154,             0.48638,             0.25327,            0.048647,            0.025446,           0.0055038,            0.006238,            0.006238,            0.006238
                  40,            0.051838,            0.035964,           0.0070799,             0.68198,             0.40903,             0.48319,             0.25621,            0.048379,            0.025455,           0.0053305,            0.006139,            0.006139,            0.006139
                  41,            0.051551,             0.03602,           0.0068318,              0.6852,             0.42576,             0.49281,              0.2597,            0.048463,             0.02537,           0.0053385,             0.00604,             0.00604,             0.00604
                  42,            0.051409,            0.035885,           0.0067766,             0.69647,             0.41516,             0.48853,             0.25317,            0.048291,             0.02539,           0.0053964,            0.005941,            0.005941,            0.005941
                  43,            0.051304,            0.035323,           0.0066373,             0.65427,             0.42777,             0.48466,             0.25662,             0.04829,            0.025421,           0.0052436,            0.005842,            0.005842,            0.005842
                  44,            0.051251,            0.035838,           0.0065449,             0.66381,             0.43467,             0.48802,             0.25835,            0.048152,            0.025352,           0.0054003,            0.005743,            0.005743,            0.005743
                  45,            0.051272,            0.035912,           0.0066942,             0.63566,             0.43182,             0.49401,             0.26116,            0.048231,            0.025262,           0.0055117,            0.005644,            0.005644,            0.005644
                  46,            0.051059,            0.035634,           0.0065561,             0.66531,              0.4263,               0.496,             0.26166,             0.04808,            0.025279,           0.0053065,            0.005545,            0.005545,            0.005545
                  47,            0.051098,            0.035651,           0.0064906,             0.68329,             0.43696,             0.50233,             0.26579,            0.048045,            0.025164,           0.0052398,            0.005446,            0.005446,            0.005446
                  48,            0.050774,            0.035293,           0.0063646,             0.68911,              0.4319,             0.50223,             0.26381,            0.048026,            0.025201,           0.0051868,            0.005347,            0.005347,            0.005347
                  49,             0.05068,            0.035538,           0.0063606,             0.67005,             0.43445,             0.49933,             0.26646,            0.047665,            0.025191,           0.0052108,            0.005248,            0.005248,            0.005248
                  50,            0.050591,            0.035425,           0.0063321,             0.66133,             0.43655,             0.49857,             0.26823,            0.047529,            0.025223,           0.0051206,            0.005149,            0.005149,            0.005149
                  51,            0.050428,            0.035592,           0.0062734,             0.65274,             0.44037,             0.50217,             0.26702,             0.04764,            0.025227,           0.0050095,             0.00505,             0.00505,             0.00505
                  52,            0.050316,            0.035353,           0.0062181,             0.66598,             0.43174,             0.50075,              0.2696,             0.04739,            0.025146,           0.0050487,            0.004951,            0.004951,            0.004951
                  53,            0.050396,             0.03513,           0.0062308,             0.69336,             0.44689,             0.50682,             0.27239,            0.047334,            0.025052,           0.0050844,            0.004852,            0.004852,            0.004852
                  54,            0.050128,            0.035409,           0.0060652,             0.70091,              0.4417,             0.51541,              0.2753,            0.047268,            0.025015,           0.0048536,            0.004753,            0.004753,            0.004753
                  55,            0.049958,            0.035446,           0.0059529,             0.68283,             0.44157,             0.51185,             0.27607,            0.047258,             0.02506,           0.0048403,            0.004654,            0.004654,            0.004654
                  56,            0.049804,            0.034959,           0.0059258,             0.69305,             0.44529,             0.51369,             0.27744,            0.047296,            0.025032,           0.0050241,            0.004555,            0.004555,            0.004555
                  57,            0.049906,            0.034661,           0.0059404,             0.67434,              0.4425,             0.50813,             0.27344,            0.047116,            0.025076,           0.0049576,            0.004456,            0.004456,            0.004456
                  58,            0.049726,            0.035119,           0.0059295,             0.68043,             0.44049,             0.50717,             0.27481,             0.04707,            0.024979,           0.0049493,            0.004357,            0.004357,            0.004357
                  59,             0.04953,            0.034951,           0.0057261,             0.69209,             0.44204,             0.51414,             0.27795,            0.046894,            0.024953,           0.0049511,            0.004258,            0.004258,            0.004258
                  60,            0.049594,            0.034846,           0.0058129,             0.69487,             0.43661,             0.51398,             0.27859,            0.046861,            0.024968,           0.0048764,            0.004159,            0.004159,            0.004159
                  61,            0.049357,            0.035408,           0.0058083,             0.69062,              0.4394,             0.51092,             0.27643,            0.046876,            0.024958,           0.0049177,             0.00406,             0.00406,             0.00406
                  62,            0.049303,            0.034696,           0.0056817,             0.70376,             0.44189,             0.51518,             0.27961,            0.046881,            0.024927,           0.0047825,            0.003961,            0.003961,            0.003961
                  63,            0.049453,            0.035122,           0.0056796,             0.69813,             0.44395,              0.5148,             0.27895,            0.046841,            0.024909,            0.004833,            0.003862,            0.003862,            0.003862
